,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Dennis Aogo,Hamburg,26,"D(L),M(CL)",27,22,1963,2,4,1,6.84,2012-13,GER Bundesliga
1,Andreas Ivanschitz,Mainz,30,AM(CL),31,29,2301,7,5,1,6.84,2012-13,GER Bundesliga
2,Vedad Ibisevic,Stuttgart,29,FW,30,30,2665,15,3,1,6.84,2012-13,GER Bundesliga
3,Leonardo Bittencourt,Borussia Dortmund,20,"M(CLR),FW",5,2,221,1,1,0,6.84,2012-13,GER Bundesliga
4,Per Ciljan Skjelbred,Hamburg,26,M(CR),18,15,1182,0,0,0,6.84,2012-13,GER Bundesliga
5,Konstantin Rausch,Hannover,23,"D(L),M(L)",30,25,2340,3,3,1,6.83,2012-13,GER Bundesliga
6,Granit Xhaka,Borussia M.Gladbach,21,"D(L),M(C)",22,15,1484,1,0,0,6.83,2012-13,GER Bundesliga
7,Marco Höger,Schalke,24,"D(CR),M(C)",22,15,1383,3,2,0,6.83,2012-13,GER Bundesliga
8,Kevin Großkreutz,Borussia Dortmund,25,"D(LR),M(CLR)",29,19,1762,2,4,1,6.83,2012-13,GER Bundesliga
9,Luuk de Jong,Borussia M.Gladbach,23,"AM(C),FW",23,17,1424,6,2,0,6.83,2012-13,GER Bundesliga
0,Kevin Trapp,Eintracht Frankfurt,23,GK,26,26,2340,0,0,2,6.83,2012-13,GER Bundesliga
1,René Adler,Hamburg,28,GK,32,32,2880,0,0,2,6.83,2012-13,GER Bundesliga
2,Sejad Salihovic,Hoffenheim,29,"D(L),M(CL)",20,14,1277,7,2,0,6.82,2012-13,GER Bundesliga
3,Tobias Levels,Fortuna Duesseldorf,27,D(R),19,17,1539,0,1,0,6.82,2012-13,GER Bundesliga
4,Andreas Beck,Hoffenheim,26,"D(LR),M(R)",31,31,2790,1,2,0,6.82,2012-13,GER Bundesliga
5,Patrick Rakovsky,Nuernberg,20,GK,4,3,315,0,0,0,6.82,2012-13,GER Bundesliga
6,Stefan Aigner,Eintracht Frankfurt,26,"AM(CLR),FW",34,34,2836,9,7,0,6.82,2012-13,GER Bundesliga
7,Maza Rodríguez,Stuttgart,32,D(C),14,9,899,0,0,1,6.81,2012-13,GER Bundesliga
8,Timmy Simons,Nuernberg,37,"D(C),M(C)",34,34,3030,5,0,0,6.81,2012-13,GER Bundesliga
9,Leon Andreasen,Hannover,30,M(CR),5,4,264,2,0,0,6.80,2012-13,GER Bundesliga
0,Hanno Balitsch,Nuernberg,33,"D(R),M(C)",33,31,2779,1,2,0,6.80,2012-13,GER Bundesliga
1,Fabian Giefer,Fortuna Duesseldorf,23,GK,34,34,3050,0,0,1,6.80,2012-13,GER Bundesliga
2,Tobias Weis,Hoffenheim,28,M(C),18,17,1381,2,3,1,6.79,2012-13,GER Bundesliga
3,Nikola Djurdjic,Greuther Fuerth,27,FW,15,14,1213,5,1,1,6.79,2012-13,GER Bundesliga
4,Christian Schulz,Hannover,30,"D(CL),DMC",19,18,1603,1,0,1,6.79,2012-13,GER Bundesliga
5,Jannik Vestergaard,Hoffenheim,21,D(C),16,14,1340,0,0,0,6.79,2012-13,GER Bundesliga
6,Sead Kolasinac,Schalke,20,"D(CL),DMC,M(L)",16,12,1108,0,1,1,6.79,2012-13,GER Bundesliga
7,Serdar Tasci,Stuttgart,26,D(C),25,25,2169,0,0,0,6.79,2012-13,GER Bundesliga
8,Robert Tesche,Fortuna Duesseldorf,26,M(C),14,12,1035,0,0,0,6.78,2012-13,GER Bundesliga
9,Diego Benaglio,Wolfsburg,30,GK,34,34,3060,0,0,1,6.78,2012-13,GER Bundesliga
0,Timo Gebhart,Nuernberg,24,M(CL),18,12,1116,2,1,1,6.78,2012-13,GER Bundesliga
1,Jens Langeneke,Fortuna Duesseldorf,36,D(C),16,16,1391,2,0,0,6.78,2012-13,GER Bundesliga
2,Roel Brouwers,Borussia M.Gladbach,32,D(C),21,15,1437,1,1,0,6.78,2012-13,GER Bundesliga
3,Marco Russ,Eintracht Frankfurt,28,"D(C),DMC",10,7,625,1,0,1,6.78,2012-13,GER Bundesliga
4,Eric Choupo-Moting,Mainz,24,"M(CLR),FW",8,4,411,0,0,1,6.77,2012-13,GER Bundesliga
5,Christian Wetklo,Mainz,34,GK,31,31,2750,0,0,1,6.77,2012-13,GER Bundesliga
6,Ronny Philp,Augsburg,24,D(R),4,4,313,0,0,0,6.77,2012-13,GER Bundesliga
7,Theodor Gebre Selassie,Werder Bremen,27,"D(CLR),DMC,M(R)",27,24,2152,1,2,0,6.76,2012-13,GER Bundesliga
8,Tolga Cigerci,Borussia M.Gladbach,21,M(CLR),12,9,805,0,0,0,6.76,2012-13,GER Bundesliga
9,Niki Zimling,Mainz,28,M(C),13,10,964,1,0,0,6.75,2012-13,GER Bundesliga
0,Johannes Geis,Greuther Fuerth,20,"D(C),DMC",8,7,525,1,1,0,6.75,2012-13,GER Bundesliga
1,Clemens Fritz,Werder Bremen,33,"D(R),DMC",22,18,1596,0,0,0,6.75,2012-13,GER Bundesliga
2,Robin Knoche,Wolfsburg,21,D(C),11,8,799,0,0,0,6.75,2012-13,GER Bundesliga
3,Karim Bellarabi,Leverkusen,23,"M(CLR),FW",8,5,419,0,0,0,6.75,2012-13,GER Bundesliga
4,Martin Latka,Fortuna Duesseldorf,29,D(C),13,13,1170,0,0,0,6.74,2012-13,GER Bundesliga
5,Artjoms Rudnevs,Hamburg,25,FW,34,26,2438,12,4,1,6.74,2012-13,GER Bundesliga
6,Johannes van den Bergh,Fortuna Duesseldorf,27,"D(L),M(L)",33,33,2941,0,1,0,6.74,2012-13,GER Bundesliga
7,Ivan Perisic,Wolfsburg,24,"M(CLR),FW",11,7,548,2,1,0,6.74,2012-13,GER Bundesliga
8,Stephan Fürstner,Greuther Fuerth,26,DMC,30,30,2660,1,0,0,6.74,2012-13,GER Bundesliga
9,Tom Trybull,Werder Bremen,20,M(C),4,4,301,0,0,0,6.74,2012-13,GER Bundesliga
0,Emanuel Pogatetz,Wolfsburg,30,D(C),8,8,646,0,0,0,6.73,2012-13,GER Bundesliga
1,Axel Bellinghausen,Fortuna Duesseldorf,30,"D(L),M(L)",31,25,2203,3,3,0,6.73,2012-13,GER Bundesliga
2,Eugen Polanski,Hoffenheim,27,M(C),11,9,751,0,0,0,6.73,2012-13,GER Bundesliga
