,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Granit Xhaka,Switzerland,26,"D(L),M(C)",4,4,360,1,0,0,6.84,2017-18,FIFA World Cup
1,Miguel Trauco,Peru,26,"D(L),M(L)",3,3,270,0,0,0,6.84,2017-18,FIFA World Cup
2,Robin Olsen,Sweden,29,GK,5,5,450,0,0,0,6.84,2017-18,FIFA World Cup
3,Gen Shoji,Japan,26,D(C),3,3,270,0,0,0,6.83,2017-18,FIFA World Cup
4,Dusko Tosic,Serbia,33,D(CL),2,2,180,0,0,0,6.83,2017-18,FIFA World Cup
5,Keita Baldé,Senegal,23,"AM(LR),FW",1,1,80,0,0,0,6.83,2017-18,FIFA World Cup
6,Anderson Santamaría,Peru,27,D(CLR),2,1,135,0,0,0,6.82,2017-18,FIFA World Cup
7,Maya Yoshida,Japan,30,D(CR),4,4,360,0,0,0,6.82,2017-18,FIFA World Cup
8,Sergio Ramos,Spain,32,D(CR),4,4,391,0,0,0,6.82,2017-18,FIFA World Cup
9,Alan Dzagoev,Russia,28,"M(CLR),FW",2,1,42,0,1,0,6.82,2017-18,FIFA World Cup
0,Aleksandar Kolarov,Serbia,33,"D(CL),M(L)",3,3,270,1,0,1,6.82,2017-18,FIFA World Cup
1,Jacek Góralski,Poland,26,DMC,2,2,180,0,0,0,6.82,2017-18,FIFA World Cup
2,Matías Vecino,Uruguay,27,M(C),5,5,416,0,0,0,6.82,2017-18,FIFA World Cup
3,Marcos Rojo,Argentina,28,D(CL),3,3,226,1,0,0,6.82,2017-18,FIFA World Cup
4,Ricardo Quaresma,Portugal,35,AM(CLR),3,1,116,1,0,0,6.82,2017-18,FIFA World Cup
5,Ludwig Augustinsson,Sweden,24,"D(L),M(L)",5,5,450,1,0,0,6.81,2017-18,FIFA World Cup
6,Chicharito,Mexico,30,FW,4,4,330,1,1,0,6.81,2017-18,FIFA World Cup
7,Rami Bedoui,Tunisia,28,Substitute,1,1,90,0,0,0,6.81,2017-18,FIFA World Cup
8,Youri Tielemans,Belgium,21,M(C),4,2,175,0,2,0,6.81,2017-18,FIFA World Cup
9,Olivier Giroud,France,32,FW,7,6,546,0,1,0,6.81,2017-18,FIFA World Cup
0,Keylor Navas,Costa Rica,32,GK,3,3,270,0,0,0,6.81,2017-18,FIFA World Cup
1,Hugo Ayala,Mexico,31,D(C),2,2,180,0,0,0,6.81,2017-18,FIFA World Cup
2,Ashley Young,England,33,"D(LR),M(LR)",5,5,463,0,1,0,6.80,2017-18,FIFA World Cup
3,Roozbeh Cheshmi,Iran,25,D(CLR),1,1,90,0,0,0,6.80,2017-18,FIFA World Cup
4,Pione Sisto,Denmark,23,"AM(CLR),FW",4,3,232,0,0,0,6.80,2017-18,FIFA World Cup
5,David Silva,Spain,33,"M(CLR),FW",4,4,327,0,0,0,6.80,2017-18,FIFA World Cup
6,Milad Mohammadi,Iran,25,"D(LR),M(L)",2,0,55,0,0,0,6.80,2017-18,FIFA World Cup
7,Saeid Ezatolahi,Iran,22,DMC,2,2,166,0,0,0,6.80,2017-18,FIFA World Cup
8,Salif Sané,Senegal,28,"D(C),DMC",3,3,270,0,0,0,6.79,2017-18,FIFA World Cup
9,Fabian Schär,Switzerland,27,D(C),3,3,270,0,0,0,6.79,2017-18,FIFA World Cup
0,Wílmar Barrios,Colombia,25,"D(C),DMC",3,2,270,0,0,0,6.79,2017-18,FIFA World Cup
1,Dylan Bronn,Tunisia,23,D(C),2,2,114,1,0,0,6.79,2017-18,FIFA World Cup
2,Steven Zuber,Switzerland,27,"D(L),M(CLR)",3,3,253,1,0,0,6.78,2017-18,FIFA World Cup
3,Trent Sainsbury,Australia,27,D(C),3,3,270,0,0,0,6.78,2017-18,FIFA World Cup
4,Dries Mertens,Belgium,31,"AM(CLR),FW",6,3,300,1,1,0,6.78,2017-18,FIFA World Cup
5,Samuel Umtiti,France,25,D(CL),6,6,540,1,0,0,6.78,2017-18,FIFA World Cup
6,Simon Kjaer,Denmark,29,D(C),4,4,390,0,0,0,6.78,2017-18,FIFA World Cup
7,Diego Laxalt,Uruguay,25,"D(L),M(CL)",4,3,301,0,0,0,6.78,2017-18,FIFA World Cup
8,Hiroki Sakai,Japan,28,"D(CLR),M(R)",4,4,360,0,0,0,6.78,2017-18,FIFA World Cup
9,Paulinho,Brazil,30,M(CR),5,5,354,1,0,0,6.78,2017-18,FIFA World Cup
0,Blaise Matuidi,France,31,M(CL),5,4,336,0,0,0,6.77,2017-18,FIFA World Cup
1,Celso Borges,Costa Rica,30,"D(C),M(C)",3,3,270,0,0,0,6.77,2017-18,FIFA World Cup
2,Trézéguet,Egypt,24,AM(LR),3,3,239,0,0,0,6.77,2017-18,FIFA World Cup
3,Luka Milivojevic,Serbia,27,DMC,2,2,171,0,0,0,6.77,2017-18,FIFA World Cup
4,Romain Saïss,Morocco,28,"D(C),DMC",2,2,180,0,0,0,6.77,2017-18,FIFA World Cup
5,Marcelo Brozovic,Croatia,26,M(CR),6,4,459,0,1,0,6.75,2017-18,FIFA World Cup
6,Kári Árnason,Iceland,36,"D(C),DMC",2,2,180,0,0,0,6.74,2017-18,FIFA World Cup
7,Jens Stryger Larsen,Denmark,27,"D(CLR),M(LR)",3,3,270,0,0,0,6.74,2017-18,FIFA World Cup
8,Daniel Carvajal,Spain,27,D(R),3,2,231,0,1,0,6.73,2017-18,FIFA World Cup
9,Hakim Ziyech,Morocco,25,M(CLR),3,3,265,0,0,0,6.73,2017-18,FIFA World Cup
0,Hong Chul,South Korea,28,D(CLR),2,1,96,0,0,0,6.73,2017-18,FIFA World Cup
1,Dejan Lovren,Croatia,29,D(C),7,6,651,0,0,0,6.72,2017-18,FIFA World Cup
2,Hwang Hee-Chan,South Korea,22,"AM(CLR),FW",3,2,203,0,0,0,6.72,2017-18,FIFA World Cup
3,Thomas Müller,Germany,29,"M(CLR),FW",3,2,207,0,0,0,6.72,2017-18,FIFA World Cup
