,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
4,Álvaro Negredo,Spain,27,FW,2,1,55,0,0,0,6.30,2011-12,UEFA European Championship
5,Jetro Willems,Netherlands,18,"D(L),DMC,M(L)",3,3,247,0,0,0,6.29,2011-12,UEFA European Championship
6,James McClean,Ireland,23,"D(L),M(CLR),FW",1,0,14,0,0,0,6.28,2011-12,UEFA European Championship
7,Roman Hubnik,Czech Republic,28,D(C),1,1,90,0,0,0,6.28,2011-12,UEFA European Championship
8,Bogdan Butko,Ukraine,22,D(R),1,0,13,0,0,0,6.27,2011-12,UEFA European Championship
9,Mikael Lustig,Sweden,26,D(CR),2,1,114,0,0,0,6.27,2011-12,UEFA European Championship
0,Adrian Mierzejewski,Poland,26,"AM(CR),FW",2,0,34,0,0,0,6.25,2011-12,UEFA European Championship
1,Javi Martínez,Spain,24,"D(C),M(C)",1,0,25,0,0,0,6.25,2011-12,UEFA European Championship
2,Markus Rosenberg,Sweden,30,FW,2,1,82,0,0,0,6.25,2011-12,UEFA European Championship
3,Milan Baros,Czech Republic,31,FW,4,4,329,0,1,0,6.24,2011-12,UEFA European Championship
4,Antonio Di Natale,Italy,35,FW,5,1,193,1,0,0,6.23,2011-12,UEFA European Championship
5,Joris Mathijsen,Netherlands,32,D(C),2,2,180,0,0,0,6.21,2011-12,UEFA European Championship
6,Ibrahim Afellay,Netherlands,26,M(CLR),3,2,140,0,0,0,6.20,2011-12,UEFA European Championship
7,Jordan Henderson,England,22,"D(C),M(CLR)",2,0,38,0,0,0,6.20,2011-12,UEFA European Championship
8,Sokratis Papastathopoulos,Greece,24,D(CR),3,3,224,0,0,0,6.20,2011-12,UEFA European Championship
9,Denis Glushakov,Russia,25,M(C),1,1,72,0,0,0,6.19,2011-12,UEFA European Championship
0,Milan Petrzela,Czech Republic,29,M(R),1,0,14,0,0,0,6.19,2011-12,UEFA European Championship
1,Custódio,Portugal,29,DMC,3,0,39,0,0,0,6.18,2011-12,UEFA European Championship
2,Sotiris Ninis,Greece,22,AM(C),3,2,99,0,0,0,6.18,2011-12,UEFA European Championship
3,Petr Cech,Czech Republic,30,GK,4,4,360,0,0,0,6.18,2011-12,UEFA European Championship
4,Konstantinos Fortounis,Greece,20,"M(CL),FW",2,1,93,0,0,0,6.17,2011-12,UEFA European Championship
5,Alex Oxlade Chamberlain,England,19,M(CLR),3,1,81,0,0,0,6.17,2011-12,UEFA European Championship
6,Dennis Rommedahl,Denmark,34,M(CLR),2,2,144,0,0,0,6.17,2011-12,UEFA European Championship
7,Christian Eriksen,Denmark,20,"M(CLR),FW",3,3,254,0,0,0,6.16,2011-12,UEFA European Championship
8,Klaas Jan Huntelaar,Netherlands,29,FW,3,1,154,0,0,0,6.16,2011-12,UEFA European Championship
9,Danijel Pranjic,Croatia,31,"D(L),M(C)",2,1,87,0,0,0,6.15,2011-12,UEFA European Championship
0,Johan Elmander,Sweden,31,"M(C),FW",2,1,98,0,0,0,6.15,2011-12,UEFA European Championship
1,Sebastian Giovinco,Italy,25,"AM(C),FW",2,0,32,0,0,0,6.15,2011-12,UEFA European Championship
2,Tobias Mikkelsen,Denmark,26,M(CLR),3,0,45,0,0,0,6.14,2011-12,UEFA European Championship
3,Pawel Brozek,Poland,29,FW,2,0,18,0,0,0,6.13,2011-12,UEFA European Championship
4,Rolando,Portugal,27,D(C),3,0,6,0,0,0,6.13,2011-12,UEFA European Championship
5,Marko Devic,Ukraine,29,"AM(C),FW",3,1,116,0,0,0,6.12,2011-12,UEFA European Championship
6,Nélson Oliveira,Portugal,21,FW,4,0,111,0,0,0,6.12,2011-12,UEFA European Championship
7,Glenn Whelan,Ireland,29,DMC,3,3,260,0,0,0,6.12,2011-12,UEFA European Championship
8,Eduardo da Silva,Croatia,29,"M(C),FW",3,0,17,0,0,0,6.11,2011-12,UEFA European Championship
9,Adam Matuschyk,Poland,23,M(C),1,0,5,0,0,0,6.11,2011-12,UEFA European Championship
0,Aleksandr Kokorin,Russia,21,"AM(CLR),FW",1,0,5,0,0,0,6.09,2011-12,UEFA European Championship
1,Oleksandr Aliyev,Ukraine,27,AM(C),1,0,22,0,0,0,6.09,2011-12,UEFA European Championship
2,Tomas Pekhart,Czech Republic,23,FW,3,0,31,0,0,0,6.08,2011-12,UEFA European Championship
3,Hugo Almeida,Portugal,28,FW,2,1,131,0,0,0,6.08,2011-12,UEFA European Championship
4,Artem Milevskiy,Ukraine,28,AM(L),3,1,117,0,0,0,6.07,2011-12,UEFA European Championship
5,Marvin Martin,France,25,M(C),2,0,22,0,0,0,6.06,2011-12,UEFA European Championship
6,Shane Long,Ireland,25,"AM(R),FW",2,0,41,0,0,0,6.06,2011-12,UEFA European Championship
7,Simon Cox,Ireland,25,"M(C),FW",3,1,86,0,0,0,6.06,2011-12,UEFA European Championship
8,Antonio Nocerino,Italy,27,M(C),2,0,41,0,0,0,6.05,2011-12,UEFA European Championship
9,Lasse Schöne,Denmark,26,M(CLR),2,0,17,0,0,0,6.03,2011-12,UEFA European Championship
0,Kamil Grosicki,Poland,24,AM(LR),1,0,34,0,0,0,6.02,2011-12,UEFA European Championship
1,Konstantinos Mitroglou,Greece,24,FW,1,0,19,0,0,0,6.02,2011-12,UEFA European Championship
2,Jonathan Walters,Ireland,29,"M(CLR),FW",3,0,96,0,0,0,6.02,2011-12,UEFA European Championship
3,Dirk Kuyt,Netherlands,32,"M(CLR),FW",2,0,12,0,0,0,6.01,2011-12,UEFA European Championship
4,Marat Izmailov,Russia,30,M(CR),2,0,20,0,0,0,6.01,2011-12,UEFA European Championship
5,Tomislav Dujmovic,Croatia,31,D(C),1,0,1,0,0,0,6.00,2011-12,UEFA European Championship
