,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
2,Ola Toivonen,Rennes,28,"AM(C),FW",15,14,1234,7,1,2,7.18,2013-14,FRA Ligue 1
3,Nicolas Nkoulou,Marseille,24,D(C),37,37,3330,2,0,3,7.18,2013-14,FRA Ligue 1
4,Dimitar Berbatov,Monaco,33,"AM(C),FW",12,9,767,6,4,2,7.17,2013-14,FRA Ligue 1
5,Franck Béria,Lille,31,D(CLR),26,26,2245,0,0,1,7.17,2013-14,FRA Ligue 1
6,Edinson Cavani,PSG,27,"AM(LR),FW",30,25,2299,16,2,2,7.16,2013-14,FRA Ligue 1
7,Ryad Boudebouz,Sochaux,24,"M(CLR),FW",2,2,180,1,0,0,7.15,2013-14,FRA Ligue 1
8,Hilton,Montpellier,37,D(C),30,30,2655,3,0,1,7.14,2013-14,FRA Ligue 1
9,Sébastien Squillaci,SC Bastia,34,D(C),31,31,2751,3,0,4,7.13,2013-14,FRA Ligue 1
0,Alexandre Lacazette,Lyon,23,"M(CLR),FW",36,35,2910,15,3,3,7.13,2013-14,FRA Ligue 1
1,Olivier Veigneau,Nantes,29,D(L),27,24,2180,0,1,2,7.13,2013-14,FRA Ligue 1
2,Francois Clerc,Saint-Etienne,31,D(R),29,29,2552,2,1,1,7.13,2013-14,FRA Ligue 1
3,Gregory van der Wiel,PSG,26,"D(CR),M(R)",25,24,2158,0,4,1,7.13,2013-14,FRA Ligue 1
4,Ricardo Carvalho,Monaco,36,D(C),37,37,3330,0,2,1,7.13,2013-14,FRA Ligue 1
5,Benjamin Corgnet,Saint-Etienne,27,"M(CLR),FW",28,23,1818,7,2,2,7.13,2013-14,FRA Ligue 1
6,Aldo Angoula,Evian,33,D(C),20,19,1718,1,0,2,7.12,2013-14,FRA Ligue 1
7,Clément Chantôme,Toulouse,27,M(C),27,24,2154,2,4,1,7.12,2013-14,FRA Ligue 1
8,Romain Hamouma,Saint-Etienne,27,"M(CLR),FW",34,29,2495,9,4,3,7.12,2013-14,FRA Ligue 1
9,Aymen Abdennour,Toulouse,25,D(C),15,15,1324,0,0,1,7.12,2013-14,FRA Ligue 1
0,Alex,PSG,32,D(C),31,30,2612,2,0,1,7.11,2013-14,FRA Ligue 1
1,Jordan Ayew,Sochaux,23,"AM(CLR),FW",17,16,1367,5,1,0,7.11,2013-14,FRA Ligue 1
