Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
1959,Manfred Paschke,Defender,23,Germany,VfL Osnabrück,Germany Oberliga Nord,23,11,0,11
1959,Giulio Savoini,Left-Back,27,Italy,Vicenza,Italy Serie A,35,10,0,10
1959,Jupp Martinelli,Sweeper,22,Germany,Alem. Aachen,Germany Oberliga West,30,9,1,10
1959,Jan Fransz,Centre-Back,21,Netherlands,Ajax,Netherlands Eredivisie,32,5,5,10
1959,Jan Dahrs,Defender,23,Netherlands,Blauw-Wit,Netherlands Eredivisie,26,9,0,9
1959,Erwin Sparendam,Centre-Back,23,Suriname,Blauw-Wit,Netherlands Eredivisie,25,9,0,9
1959,Norbert Wodarzik,Defender,19,Germany,SSV Reutlingen,Germany Oberliga Süd,27,9,0,9
1959,Manfred Weber,Defender,22,Germany,TuS Neuendorf,Germany OL Südwest,25,9,0,9
1959,Gerhard Krug,Centre-Back,21,Germany,Hamburger SV,Germany Oberliga Nord,19,8,0,8
1959,Antonio Angelillo,Attacking Midfield,20,Italy,Inter,Italy Serie A,37,36,0,36
1959,Sir Bobby Charlton,Attacking Midfield,20,England,Man Utd,England First Division (- 91/92),38,28,0,28
1959,Peter Broadbent,Attacking Midfield,24,England,Wolves,England First Division (- 91/92),44,22,4,26
1959,Helmut Kapitulski,Attacking Midfield,23,Germany,FK Pirmasens,Germany OL Südwest,30,25,0,25
1959,Luis Suárez,Central Midfield,23,Spain,Barcelona,Spain LaLiga,35,20,5,25
1959,Raymond Kopa,Attacking Midfield,26,France,Real Madrid,Spain LaLiga,37,11,13,24
1959,Reinhold Straus,Central Midfield,20,Germany,Phönix 03,Germany OL Südwest,29,23,0,23
1959,Friedel Späth,Midfielder,23,Germany,1.FC K'lautern,Germany OL Südwest,22,23,0,23
1959,Miguel Montuori,Attacking Midfield,25,Italy,Fiorentina,Italy Serie A,27,22,0,22
1959,Helmut Faeder,Attacking Midfield,22,Germany,Hertha BSC,Germany OL Berlin,33,22,0,22
1959,Max Morlock,Attacking Midfield,33,Germany,1.FC Nuremberg,Germany Oberliga Süd,30,20,0,20
1959,Jupp Derwall,Attacking Midfield,31,Germany,F. Düsseldorf,Germany Oberliga West,27,19,0,19
1959,Lutz Steinert,Attacking Midfield,19,Germany,Hertha BSC,Germany OL Berlin,34,19,0,19
1959,Carol Schuurman,Midfielder,23,Netherlands,ADO,Netherlands Eredivisie,32,18,0,18
1959,Günter Steinert,Midfielder,20,N/A,Wacker Berlin,Germany OL Berlin,31,18,0,18
