Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
1994,Guillermo Amor,Central Midfield,25,Spain,Barcelona,Spain LaLiga,53,11,8,19
1994,Michael Laudrup,Attacking Midfield,29,Denmark,Barcelona,Spain LaLiga,40,6,13,19
1994,Thomas von Heesen,Attacking Midfield,31,Germany,Hamburger SV,Germany Bundesliga,36,16,2,18
1994,Andreas Möller,Attacking Midfield,25,Germany,Juventus,Italy Serie A,38,12,6,18
1994,Andy Cole,Centre-Forward,21,England,Newcastle,England Premier League,45,41,14,55
1994,Romário,Centre-Forward,27,Brazil,Barcelona,Spain LaLiga,47,32,14,46
1994,Ian Wright,Centre-Forward,29,England,Arsenal,England Premier League,53,35,4,39
1994,Éric Cantona,Second Striker,27,France,Man Utd,England Premier League,49,25,14,39
1994,Alan Shearer,Centre-Forward,22,England,Blackburn,England Premier League,48,34,4,38
1994,Hristo Stoichkov,Left Winger,27,Bulgaria,Barcelona,Spain LaLiga,48,24,14,38
1994,Chris Sutton,Centre-Forward,20,England,Norwich,England Premier League,50,25,12,37
1994,Peter Beardsley,Second Striker,32,England,Newcastle,England Premier League,41,24,10,34
1994,Gianfranco Zola,Second Striker,26,Italy,AC Parma,Italy Serie A,51,22,11,33
1994,Roberto Baggio,Second Striker,26,Italy,Juventus,Italy Serie A,41,22,9,31
1994,Stéphane Chapuisat,Centre-Forward,24,Switzerland,Bor. Dortmund,Germany Bundesliga,40,21,10,31
1994,Wynton Rufer,Centre-Forward,30,New Zealand,Werder Bremen,Germany Bundesliga,50,24,6,30
1994,Mark Hughes,Second Striker,29,Wales,Man Utd,England Premier League,54,22,6,28
1994,Mark Bright,Centre-Forward,31,England,Sheff Wed,England Premier League,47,22,6,28
1994,Davor Suker,Centre-Forward,25,Croatia,Sevilla FC,Spain LaLiga,39,27,0,27
1994,Meho Kodro,Centre-Forward,26,Bosnia-Herzegovina,Real Sociedad,Spain LaLiga,40,27,0,27
1994,Nicolas Ouédec,Centre-Forward,21,France,FC Nantes,France Ligue 1,45,24,3,27
1994,Ulf Kirsten,Centre-Forward,27,Germany,B. Leverkusen,Germany Bundesliga,36,20,7,27
1994,Rubén Sosa,Centre-Forward,27,Uruguay,Inter,Italy Serie A,44,17,10,27
1994,Roger Boli,Centre-Forward,27,France,Lens,France Ligue 1,39,22,4,26
1994,Kevin Campbell,Centre-Forward,23,England,Arsenal,England Premier League,53,20,6,26
1994,Dean Holdsworth,Centre-Forward,24,England,Wimbledon FC,England Premier League,47,20,6,26
1994,Anthony Yeboah,Centre-Forward,27,Ghana,E. Frankfurt,Germany Bundesliga,27,20,6,26
1994,Giuseppe Signori,Centre-Forward,25,Italy,Lazio,Italy Serie A,28,23,2,25
1994,Paulo Sérgio,Right Winger,24,Brazil,B. Leverkusen,Germany Bundesliga,42,21,4,25
1995,Laurent Blanc,Centre-Back,28,France,Saint-Étienne,France Ligue 1,39,13,3,16
1995,Andy Hinchcliffe,Left-Back,25,England,Everton,England Premier League,36,3,13,16
1995,Thomas Kastenmaier,Right-Back,28,Germany,Bor. M'gladbach,Germany Bundesliga,37,9,6,15
1995,Jörg Heinrich,Left-Back,24,Germany,SC Freiburg,Germany Bundesliga,34,7,8,15
1995,Ronald Koeman,Sweeper,31,Netherlands,Barcelona,Spain LaLiga,42,10,4,14
1995,Steve Staunton,Left-Back,25,Ireland,Aston Villa,England Premier League,41,5,8,13
1995,Miroslav Kadlec,Sweeper,30,Czech Republic,1.FC K'lautern,Germany Bundesliga,42,5,8,13
1995,Hendrik Herzog,Centre-Back,25,Germany,FC Schalke 04,Germany Bundesliga,32,9,2,11
1995,Frank Verlaat,Centre-Back,26,Netherlands,AJ Auxerre,France Ligue 1,45,10,0,10
1995,Stuart Pearce,Left-Back,32,England,Forest,England Premier League,37,10,0,10
1995,Andreas Brehme,Left-Back,33,Germany,1.FC K'lautern,Germany Bundesliga,34,6,4,10
1995,Denis Irwin,Left-Back,28,Ireland,Man Utd,England Premier League,54,6,4,10
1995,Matthias Sammer,Sweeper,26,Germany,Bor. Dortmund,Germany Bundesliga,36,5,5,10
1995,Warren Barton,Right-Back,25,England,Wimbledon FC,England Premier League,42,2,8,10
1995,Frank Leboeuf,Centre-Back,26,France,R. Strasbourg,France Ligue 1,41,9,0,9
1995,Fernando Hierro,Centre-Back,26,Spain,Real Madrid,Spain LaLiga,40,7,2,9
1995,Gary Pallister,Centre-Back,29,England,Man Utd,England Premier League,51,4,5,9
1995,Stig Inge Bjørnebye,Left-Back,24,Norway,Liverpool,England Premier League,44,0,9,9
1995,Stephan Paßlack,Centre-Back,23,Germany,Multiple clubs,N/A,22,8,0,8
1995,Paolo Negro,Right-Back,22,Italy,Lazio,Italy Serie A,48,8,0,8
1995,Dmitriy Popov,Right-Back,27,Russia,Racing,Spain LaLiga,37,7,1,8
1995,Steve Watson,Right-Back,20,England,Newcastle,England Premier League,35,5,3,8
1995,Claus Thomsen,Centre-Back,24,Denmark,Ipswich,England Premier League,35,5,3,8
1995,Christian Panucci,Right-Back,21,Italy,Milan,Italy Serie A,43,4,4,8
1995,Michael Tarnat,Left-Back,24,Germany,Karlsruher SC,Germany Bundesliga,31,3,5,8
1995,Matt Le Tissier,Attacking Midfield,25,England,Southampton,England Premier League,49,29,16,45
1995,Mario Basler,Right Midfield,25,Germany,Werder Bremen,Germany Bundesliga,39,22,15,37
1995,Andreas Möller,Attacking Midfield,26,Germany,Bor. Dortmund,Germany Bundesliga,41,17,18,35
1995,Ruel Fox,Central Midfield,26,Montserrat,Newcastle,England Premier League,51,12,16,28
1995,Rodolfo Cardoso,Attacking Midfield,25,Argentina,SC Freiburg,Germany Bundesliga,31,16,10,26
1995,Andreas Herzog,Attacking Midfield,25,Austria,Werder Bremen,Germany Bundesliga,36,10,16,26
1995,Dejan Savicevic,Attacking Midfield,27,Montenegro,Milan,Italy Serie A,28,11,14,25
1995,Steve McManaman,Right Midfield,22,England,Liverpool,England Premier League,55,9,15,24
1995,Mehmet Scholl,Attacking Midfield,23,Germany,Bayern Munich,Germany Bundesliga,43,12,11,23
1995,Stefan Effenberg,Attacking Midfield,25,Germany,Bor. M'gladbach,Germany Bundesliga,35,9,13,22
1995,Darren Anderton,Right Midfield,22,England,Tottenham,England Premier League,45,7,14,21
1995,Raí,Attacking Midfield,29,Brazil,Paris SG,France Ligue 1,44,16,4,20
1995,Andrey Kanchelskis,Right Midfield,25,Russia,Man Utd,England Premier League,39,15,5,20
1995,Rob Lee,Central Midfield,28,England,Newcastle,England Premier League,44,14,6,20
1995,José Amavisca,Left Midfield,23,Spain,Real Madrid,Spain LaLiga,45,11,9,20
1995,Reynald Pedros,Left Midfield,22,France,FC Nantes,France Ligue 1,43,6,14,20
1995,Ryan Giggs,Left Midfield,20,Wales,Man Utd,England Premier League,40,4,16,20
1995,Nick Barmby,Left Midfield,20,England,Tottenham,England Premier League,46,11,8,19
1995,Hans-Peter Lehnhoff,Right Midfield,30,Germany,B. Leverkusen,Germany Bundesliga,42,9,10,19
1995,Franck Gava,Left Midfield,24,France,Olympique Lyon,France Ligue 1,38,9,10,19
1995,Ciriaco Sforza,Central Midfield,24,Switzerland,1.FC K'lautern,Germany Bundesliga,40,8,11,19
1995,Michael Zorc,Defensive Midfield,31,Germany,Bor. Dortmund,Germany Bundesliga,44,16,2,18
1995,Christian Ziege,Left Midfield,22,Germany,Bayern Munich,Germany Bundesliga,38,12,6,18
1995,Julen Guerrero,Attacking Midfield,20,Spain,Athletic,Spain LaLiga,32,17,0,17
1995,Alan Shearer,Centre-Forward,23,England,Blackburn,England Premier League,49,37,15,52
1995,Jürgen Klinsmann,Centre-Forward,29,Germany,Tottenham,England Premier League,50,29,14,43
1995,Robbie Fowler,Centre-Forward,19,England,Liverpool,England Premier League,57,31,11,42
1995,Iván Zamorano,Centre-Forward,27,Chile,Real Madrid,Spain LaLiga,44,31,9,40
1995,Fabrizio Ravanelli,Centre-Forward,25,Italy,Juventus,Italy Serie A,53,30,7,37
1995,Teddy Sheringham,Centre-Forward,28,England,Tottenham,England Premier League,50,23,14,37
1995,Gianluca Vialli,Centre-Forward,29,Italy,Juventus,Italy Serie A,46,22,13,35
1995,Ian Wright,Centre-Forward,30,England,Arsenal,England Premier League,47,30,3,33
1995,Les Ferdinand,Centre-Forward,27,England,QPR,England Premier League,38,24,9,33
1995,Chris Sutton,Centre-Forward,21,England,Blackburn,England Premier League,48,21,12,33
1995,Andy Cole,Centre-Forward,22,England,Multiple clubs,N/A,45,27,5,32
1995,Heiko Herrlich,Centre-Forward,22,Germany,Bor. M'gladbach,Germany Bundesliga,38,26,5,31
1995,Nicolas Ouédec,Centre-Forward,22,France,FC Nantes,France Ligue 1,45,26,5,31
1995,Gabriel Batistuta,Centre-Forward,25,Argentina,Fiorentina,Italy Serie A,37,28,1,29
1995,Patrice Loko,Centre-Forward,24,France,FC Nantes,France Ligue 1,48,24,5,29
1995,Stan Collymore,Centre-Forward,23,England,Forest,England Premier League,40,22,7,29
1995,Rudi Völler,Centre-Forward,34,Germany,B. Leverkusen,Germany Bundesliga,34,16,13,29
1995,Meho Kodro,Centre-Forward,27,Bosnia-Herzegovina,Real Sociedad,Spain LaLiga,38,28,0,28
1995,Gianfranco Zola,Second Striker,27,Italy,AC Parma,Italy Serie A,51,27,1,28
1995,Ulf Kirsten,Centre-Forward,28,Germany,B. Leverkusen,Germany Bundesliga,37,25,3,28
1995,Pavel Kuka,Centre-Forward,25,Czech Republic,1.FC K'lautern,Germany Bundesliga,43,21,7,28
1995,Bryan Roy,Right Winger,24,Netherlands,Forest,England Premier League,40,14,14,28
1995,Juan Esnáider,Centre-Forward,21,Argentina,Real Zaragoza,Spain LaLiga,43,25,2,27
1995,Anthony Yeboah,Centre-Forward,28,Ghana,Multiple clubs,N/A,41,24,3,27
1995,Uwe Rösler,Centre-Forward,25,Germany,Man City,England Premier League,39,22,5,27
1996,Julian Dicks,Left-Back,26,England,West Ham,England Premier League,39,11,1,12
1996,Matthias Sammer,Sweeper,27,Germany,Bor. Dortmund,Germany Bundesliga,32,4,8,12
1996,Thomas Helmer,Centre-Back,30,Germany,Bayern Munich,Germany Bundesliga,46,6,5,11
1996,Fernando Hierro,Centre-Back,27,Spain,Real Madrid,Spain LaLiga,40,9,1,10
1996,Bixente Lizarazu,Left-Back,25,France,G. Bordeaux,France Ligue 1,40,8,2,10
1996,Roberto Carlos,Left-Back,22,Brazil,Inter,Italy Serie A,34,7,3,10
1996,Manfred Binz,Sweeper,29,Germany,E. Frankfurt,Germany Bundesliga,32,6,4,10
1996,Gheorghe Popescu,Centre-Back,27,Romania,Barcelona,Spain LaLiga,50,8,1,9
1996,Laurent Charvet,Right-Back,22,France,Cannes,France Ligue 1,37,8,1,9
1996,Frank Leboeuf,Centre-Back,27,France,R. Strasbourg,France Ligue 1,48,8,0,8
1996,Robert Jarni,Left-Back,26,Croatia,Real Betis,Spain LaLiga,40,8,0,8
1996,Dmitriy Popov,Right-Back,28,Russia,Racing,Spain LaLiga,33,8,0,8
1996,Markus Babbel,Centre-Back,22,Germany,Bayern Munich,Germany Bundesliga,41,5,3,8
1996,Stuart Pearce,Left-Back,33,England,Forest,England Premier League,43,5,3,8
1996,Gary Charles,Right-Back,25,England,Aston Villa,England Premier League,46,1,7,8
1996,René Schneider,Centre-Back,22,Germany,Hansa Rostock,Germany Bundesliga,32,6,1,7
1996,Philippe Albert,Centre-Back,27,Belgium,Newcastle,England Premier League,28,6,1,7
1996,Dan Petrescu,Right-Back,27,Romania,Multiple clubs,N/A,40,4,3,7
1996,Thomas Kastenmaier,Right-Back,29,Germany,Bor. M'gladbach,Germany Bundesliga,30,4,3,7
1996,Jörg Heinrich,Left-Back,25,Germany,Multiple clubs,N/A,28,2,5,7
1996,Bernd Hollerbach,Left-Back,25,Germany,Multiple clubs,N/A,31,1,6,7
1996,Thomas Hengen,Sweeper,20,Germany,1.FC K'lautern,Germany Bundesliga,31,5,1,6
1996,Colin Cooper,Left-Back,28,England,Forest,England Premier League,49,5,1,6
1996,Jürgen Kohler,Centre-Back,29,Germany,Bor. Dortmund,Germany Bundesliga,40,5,1,6
1996,Eric Sikora,Right-Back,27,France,Lens,France Ligue 1,42,5,1,6
1996,Mehmet Scholl,Attacking Midfield,24,Germany,Bayern Munich,Germany Bundesliga,43,15,16,31
1996,Steve McManaman,Right Midfield,23,England,Liverpool,England Premier League,53,10,20,30
1996,Mario Basler,Right Midfield,26,Germany,Werder Bremen,Germany Bundesliga,38,15,12,27
1996,Andreas Möller,Attacking Midfield,27,Germany,Bor. Dortmund,Germany Bundesliga,34,11,14,25
1996,Thomas Häßler,Attacking Midfield,29,Germany,Karlsruher SC,Germany Bundesliga,46,14,10,24
1996,Ryan Giggs,Left Midfield,21,Wales,Man Utd,England Premier League,44,12,12,24
1996,Matt Le Tissier,Attacking Midfield,26,England,Southampton,England Premier League,43,10,14,24
1996,Zinédine Zidane,Attacking Midfield,23,France,G. Bordeaux,France Ligue 1,51,12,11,23
1996,Harald Spörl,Right Midfield,28,Germany,Hamburger SV,Germany Bundesliga,33,14,8,22
1996,Youri Djorkaeff,Attacking Midfield,27,France,Paris SG,France Ligue 1,47,20,1,21
1996,Andrey Kanchelskis,Right Midfield,26,Russia,Everton,England Premier League,36,15,6,21
1996,Michael Zorc,Defensive Midfield,32,Germany,Bor. Dortmund,Germany Bundesliga,41,17,3,20
1996,Aleksandr Mostovoy,Attacking Midfield,26,Russia,R. Strasbourg,France Ligue 1,47,16,3,19
1996,Dejan Savicevic,Attacking Midfield,28,Montenegro,Milan,Italy Serie A,29,9,10,19
1996,Óscar García,Attacking Midfield,22,Spain,Barcelona,Spain LaLiga,37,14,4,18
1996,Lars Ricken,Attacking Midfield,18,Germany,Bor. Dortmund,Germany Bundesliga,36,9,9,18
1996,Michael Laudrup,Attacking Midfield,31,Denmark,Real Madrid,Spain LaLiga,36,8,10,18
1996,Raí,Attacking Midfield,30,Brazil,Paris SG,France Ligue 1,38,17,0,17
1996,Milinko Pantic,Attacking Midfield,28,Serbia,Atlético Madrid,Spain LaLiga,49,16,1,17
1996,Stefan Effenberg,Attacking Midfield,26,Germany,Bor. M'gladbach,Germany Bundesliga,40,11,6,17
1996,Ingo Anderbrügge,Left Midfield,31,Germany,FC Schalke 04,Germany Bundesliga,29,9,8,17
1996,Krasimir Balakov,Attacking Midfield,29,Bulgaria,VfB Stuttgart,Germany Bundesliga,35,8,9,17
1996,Piotr Nowak,Attacking Midfield,30,Poland,1860 Munich,Germany Bundesliga,29,7,10,17
1996,Franck Sauzée,Central Midfield,29,France,R. Strasbourg,France Ligue 1,41,14,2,16
1996,Marc Keller,Right Midfield,27,France,R. Strasbourg,France Ligue 1,49,15,0,15
1996,Alan Shearer,Centre-Forward,24,England,Blackburn,England Premier League,48,37,10,47
1996,Robbie Fowler,Centre-Forward,20,England,Liverpool,England Premier League,53,36,7,43
1996,Predrag Mijatović,Centre-Forward,26,Montenegro,Valencia,Spain LaLiga,49,34,6,40
1996,Dwight Yorke,Centre-Forward,23,Trinidad and Tobago,Aston Villa,England Premier League,47,25,11,36
1996,Juan Antonio Pizzi,Centre-Forward,27,Spain,CD Tenerife,Spain LaLiga,47,35,0,35
1996,Les Ferdinand,Centre-Forward,28,England,Newcastle,England Premier League,44,29,6,35
1996,Raúl,Second Striker,18,Spain,Real Madrid,Spain LaLiga,52,26,9,35
1996,Bebeto,Centre-Forward,31,Brazil,Dep. La Coruña,Spain LaLiga,43,32,1,33
1996,Jürgen Klinsmann,Centre-Forward,30,Germany,Bayern Munich,Germany Bundesliga,45,31,2,33
1996,Teddy Sheringham,Centre-Forward,29,England,Tottenham,England Premier League,47,25,8,33
1996,Éric Cantona,Second Striker,29,France,Man Utd,England Premier League,38,19,14,33
1996,Stan Collymore,Centre-Forward,24,England,Liverpool,England Premier League,44,19,11,30
1996,George Weah,Centre-Forward,28,Liberia,Milan,Italy Serie A,35,15,15,30
1996,Chris Armstrong,Centre-Forward,24,England,Tottenham,England Premier League,45,22,7,29
1996,Giuseppe Signori,Centre-Forward,27,Italy,Lazio,Italy Serie A,38,26,2,28
1996,Gabriel Batistuta,Centre-Forward,26,Argentina,Fiorentina,Italy Serie A,39,27,0,27
1996,Giovane Élber,Centre-Forward,22,Brazil,VfB Stuttgart,Germany Bundesliga,34,16,11,27
1996,Ian Wright,Centre-Forward,31,England,Arsenal,England Premier League,40,23,3,26
1996,Fabrizio Ravanelli,Centre-Forward,26,Italy,Juventus,Italy Serie A,36,18,8,26
1996,Dennis Bergkamp,Second Striker,26,Netherlands,Arsenal,England Premier League,41,16,10,26
1996,Roberto Baggio,Second Striker,28,Italy,Milan,Italy Serie A,34,10,16,26
1996,Enrico Chiesa,Centre-Forward,24,Italy,Sampdoria,Italy Serie A,27,22,3,25
1996,Alen Peternac,Centre-Forward,23,Croatia,Real Valladolid,Spain LaLiga,41,24,0,24
1996,Igor Protti,Centre-Forward,27,Italy,Bari,Italy Serie A,34,24,0,24
1997,Stig Inge Bjørnebye,Left-Back,26,Norway,Liverpool,England Premier League,52,4,16,20
1997,Roberto Carlos,Left-Back,23,Brazil,Real Madrid,Spain LaLiga,42,5,13,18
1997,Jörg Heinrich,Left-Back,26,Germany,Bor. Dortmund,Germany Bundesliga,45,6,7,13
1997,Jan Heintze,Left-Back,32,Denmark,B. Leverkusen,Germany Bundesliga,32,1,11,12
1997,Ronald Maul,Left-Back,23,Germany,Arm. Bielefeld,Germany Bundesliga,28,3,7,10
1997,Laurent Charvet,Right-Back,23,France,Cannes,France Ligue 1,43,9,0,9
1997,Fernando Hierro,Centre-Back,28,Spain,Real Madrid,Spain LaLiga,45,8,1,9
1997,Julian Dicks,Left-Back,27,England,West Ham,England Premier League,38,8,0,8
1997,Robbie Elliott,Left-Back,22,England,Newcastle,England Premier League,38,7,1,8
1997,Frank Leboeuf,Centre-Back,28,France,Chelsea,England Premier League,35,7,1,8
1997,Javier Zanetti,Right-Back,22,Argentina,Inter,Italy Serie A,50,4,4,8
1997,Marco Walker,Centre-Back,26,Switzerland,1860 Munich,Germany Bundesliga,38,4,4,8
1997,Dan Petrescu,Right-Back,28,Romania,Chelsea,England Premier League,42,4,4,8
1997,Andy Hinchcliffe,Left-Back,27,England,Everton,England Premier League,20,1,7,8
1997,Sébastien Pérez,Right-Back,22,France,SC Bastia,France Ligue 1,37,7,0,7
1997,Teddy Bertin,Centre-Back,26,France,Le Havre AC,France Ligue 1,37,7,0,7
1997,Giuseppe Pancaro,Right-Back,24,Italy,Cagliari,Italy Serie A,35,5,2,7
1997,Robert Jarni,Left-Back,27,Croatia,Real Betis,Spain LaLiga,40,5,2,7
1997,André Trulsen,Centre-Back,31,Germany,FC St. Pauli,Germany Bundesliga,35,4,3,7
1997,Ugo Ehiogu,Centre-Back,23,England,Aston Villa,England Premier League,45,4,3,7
1997,Henrik Andersen,Left-Back,31,Denmark,1.FC Köln,Germany Bundesliga,30,4,3,7
1997,Massimo Beghetto,Left-Back,27,Italy,Vicenza,Italy Serie A,39,4,3,7
1997,Siniša Mihajlović,Centre-Back,27,Serbia,Sampdoria,Italy Serie A,29,2,5,7
1997,Alan Wright,Left-Back,24,England,Aston Villa,England Premier League,45,1,6,7
1997,Warren Barton,Right-Back,27,England,Newcastle,England Premier League,27,1,6,7
1997,Juninho Paulista,Attacking Midfield,23,Brazil,Middlesbrough,England Premier League,48,15,13,28
1997,Dariusz Wosz,Attacking Midfield,27,Germany,VfL Bochum,Germany Bundesliga,36,9,17,26
1997,Krasimir Balakov,Attacking Midfield,30,Bulgaria,VfB Stuttgart,Germany Bundesliga,37,15,10,25
1997,Andreas Möller,Attacking Midfield,28,Germany,Bor. Dortmund,Germany Bundesliga,37,6,19,25
1997,Youri Djorkaeff,Attacking Midfield,28,France,Inter,Italy Serie A,49,17,7,24
1997,Andreas Herzog,Attacking Midfield,27,Austria,Werder Bremen,Germany Bundesliga,36,17,7,24
1997,Rivaldo,Attacking Midfield,24,Brazil,Dep. La Coruña,Spain LaLiga,44,22,1,23
1997,Luis Enrique,Right Midfield,26,Spain,Barcelona,Spain LaLiga,51,18,5,23
1997,David Beckham,Central Midfield,21,England,Man Utd,England Premier League,49,12,11,23
1997,Paul Merson,Right Midfield,28,England,Arsenal,England Premier League,40,9,11,20
1997,Milinko Pantic,Attacking Midfield,29,Serbia,Atlético Madrid,Spain LaLiga,50,16,3,19
1997,Jocelyn Gourvennec,Attacking Midfield,24,France,FC Nantes,France Ligue 1,45,15,4,19
1997,Giovanni,Attacking Midfield,24,Brazil,Barcelona,Spain LaLiga,43,12,7,19
1997,Marc Wilmots,Attacking Midfield,27,Belgium,FC Schalke 04,Germany Bundesliga,42,12,7,19
1997,Steve McManaman,Right Midfield,24,England,Liverpool,England Premier League,51,10,9,19
1997,Mario Basler,Right Midfield,27,Germany,Bayern Munich,Germany Bundesliga,31,8,10,18
1997,Marc Keller,Right Midfield,28,France,Karlsruher SC,Germany Bundesliga,51,15,2,17
1997,Leonardo,Attacking Midfield,26,Brazil,Paris SG,France Ligue 1,43,10,7,17
1997,Zinédine Zidane,Attacking Midfield,24,France,Juventus,Italy Serie A,43,7,10,17
1997,Émerson,Defensive Midfield,24,Brazil,Middlesbrough,England Premier League,45,7,10,17
1997,Matt Le Tissier,Attacking Midfield,27,England,Southampton,England Premier League,36,16,0,16
1997,José Luis Caminero,Central Midfield,28,Spain,Atlético Madrid,Spain LaLiga,38,15,1,16
1997,Matthias Hagner,Right Midfield,21,Germany,VfB Stuttgart,Germany Bundesliga,41,12,4,16
1997,Thomas Häßler,Attacking Midfield,30,Germany,Karlsruher SC,Germany Bundesliga,30,10,6,16
1997,Julen Guerrero,Attacking Midfield,22,Spain,Athletic,Spain LaLiga,42,15,0,15
1997,Ronaldo,Centre-Forward,19,Brazil,Barcelona,Spain LaLiga,49,47,13,60
1997,Fabrizio Ravanelli,Centre-Forward,27,Italy,Middlesbrough,England Premier League,48,31,8,39
1997,Raúl,Second Striker,19,Spain,Real Madrid,Spain LaLiga,47,22,16,38
1997,Robbie Fowler,Centre-Forward,21,England,Liverpool,England Premier League,44,31,6,37
1997,Alan Shearer,Centre-Forward,25,England,Newcastle,England Premier League,40,28,9,37
1997,Ian Wright,Centre-Forward,32,England,Arsenal,England Premier League,41,30,6,36
1997,Davor Suker,Centre-Forward,28,Croatia,Real Madrid,Spain LaLiga,43,29,4,33
1997,Fredi Bobic,Centre-Forward,24,Germany,VfB Stuttgart,Germany Bundesliga,38,21,11,32
1997,Giovane Élber,Centre-Forward,23,Brazil,VfB Stuttgart,Germany Bundesliga,39,20,11,31
1997,Éric Cantona,Second Striker,30,France,Man Utd,England Premier League,50,15,16,31
1997,Stéphane Guivarc'h,Centre-Forward,25,France,Stade Rennais,France Ligue 1,45,30,0,30
1997,Les Ferdinand,Centre-Forward,29,England,Newcastle,England Premier League,40,21,9,30
1997,Sean Dundee,Centre-Forward,23,Germany,Karlsruher SC,Germany Bundesliga,48,24,5,29
1997,Alfonso,Centre-Forward,23,Spain,Real Betis,Spain LaLiga,48,27,1,28
1997,Filippo Inzaghi,Centre-Forward,22,Italy,Atalanta BC,Italy Serie A,34,25,3,28
1997,Japhet N'Doram,Centre-Forward,30,Chad,FC Nantes,France Ligue 1,40,27,0,27
1997,Dwight Yorke,Centre-Forward,24,Trinidad and Tobago,Aston Villa,England Premier League,43,20,7,27
1997,Jürgen Klinsmann,Centre-Forward,31,Germany,Bayern Munich,Germany Bundesliga,39,17,10,27
1997,David Zitelli,Centre-Forward,27,France,R. Strasbourg,France Ligue 1,47,25,1,26
1997,Vincenzo Montella,Centre-Forward,22,Italy,Sampdoria,Italy Serie A,30,24,2,26
1997,Stéphane Chapuisat,Centre-Forward,27,Switzerland,Bor. Dortmund,Germany Bundesliga,42,16,10,26
1997,Predrag Mijatović,Centre-Forward,27,Montenegro,Real Madrid,Spain LaLiga,43,15,11,26
1997,Dennis Bergkamp,Second Striker,27,Netherlands,Arsenal,England Premier League,34,14,11,25
1997,Ulf Kirsten,Centre-Forward,30,Germany,B. Leverkusen,Germany Bundesliga,30,22,2,24
1998,Roberto Carlos,Left-Back,24,Brazil,Real Madrid,Spain LaLiga,47,7,15,22
1998,Jörg Heinrich,Left-Back,27,Germany,Bor. Dortmund,Germany Bundesliga,46,7,13,20
1998,Michael Tarnat,Left-Back,27,Germany,Bayern Munich,Germany Bundesliga,46,7,10,17
1998,Dan Petrescu,Right-Back,29,Romania,Chelsea,England Premier League,43,8,7,15
1998,Laurent Blanc,Centre-Back,31,France,Marseille,France Ligue 1,35,13,0,13
1998,Siniša Mihajlović,Centre-Back,28,Serbia,Sampdoria,Italy Serie A,33,4,7,11
1998,Jan Heintze,Left-Back,33,Denmark,B. Leverkusen,Germany Bundesliga,44,3,8,11
1998,Ian Marshall,Centre-Back,31,England,Leicester,England Premier League,29,10,0,10
1998,Fernando Hierro,Centre-Back,29,Spain,Real Madrid,Spain LaLiga,40,6,4,10
1998,Cafu,Right-Back,27,Brazil,AS Roma,Italy Serie A,36,1,9,10
1998,Roberto Sensini,Centre-Back,30,Argentina,AC Parma,Italy Serie A,33,8,1,9
1998,Matt Elliott,Centre-Back,28,Scotland,Leicester,England Premier League,42,7,2,9
1998,Frank Leboeuf,Centre-Back,29,France,Chelsea,England Premier League,47,6,3,9
1998,Stephan Paßlack,Centre-Back,26,Germany,Bor. M'gladbach,Germany Bundesliga,27,5,4,9
1998,Sergi Barjuan,Left-Back,25,Spain,Barcelona,Spain LaLiga,47,3,6,9
1998,Michele Serena,Left-Back,27,Italy,Fiorentina,Italy Serie A,35,3,6,9
1998,Aitor Larrazabal,Left-Back,26,Spain,Athletic,Spain LaLiga,38,8,0,8
1998,Robert Jarni,Left-Back,28,Croatia,Real Betis,Spain LaLiga,37,6,2,8
1998,John Beresford,Left-Back,30,England,Multiple clubs,N/A,40,6,2,8
1998,Michele Paramatti,Left-Back,29,Italy,Bologna,Italy Serie A,31,5,3,8
1998,Thomas Helmer,Centre-Back,32,Germany,Bayern Munich,Germany Bundesliga,42,5,3,8
1998,Zé Maria,Right-Back,23,Brazil,AC Parma,Italy Serie A,31,0,8,8
1998,Hervé Alicarte,Sweeper,22,France,Montpellier,France Ligue 1,36,7,0,7
1998,Patrice Carteron,Centre-Back,26,France,Olympique Lyon,France Ligue 1,37,7,0,7
1998,Alf-Inge Haaland,Right-Back,24,Norway,Leeds,England Premier League,38,7,0,7
1998,Rivaldo,Attacking Midfield,25,Brazil,Barcelona,Spain LaLiga,51,28,5,33
1998,Krasimir Balakov,Attacking Midfield,31,Bulgaria,VfB Stuttgart,Germany Bundesliga,45,16,17,33
1998,David Beckham,Central Midfield,22,England,Man Utd,England Premier League,50,11,21,32
1998,Luis Enrique,Right Midfield,27,Spain,Barcelona,Spain LaLiga,47,25,4,29
1998,Thomas Häßler,Attacking Midfield,31,Germany,Karlsruher SC,Germany Bundesliga,44,16,12,28
1998,Zinédine Zidane,Attacking Midfield,25,France,Juventus,Italy Serie A,48,11,15,26
1998,Ryan Giggs,Left Midfield,23,Wales,Man Utd,England Premier League,37,9,15,24
1998,Steve McManaman,Right Midfield,25,England,Liverpool,England Premier League,46,12,11,23
1998,Mehmet Scholl,Attacking Midfield,26,Germany,Bayern Munich,Germany Bundesliga,48,11,12,23
1998,Eyal Berkovic,Attacking Midfield,25,Israel,West Ham,England Premier League,45,9,14,23
1998,Andreas Möller,Attacking Midfield,29,Germany,Bor. Dortmund,Germany Bundesliga,39,16,6,22
1998,Pavel Nedved,Left Midfield,24,Czech Republic,Lazio,Italy Serie A,43,15,6,21
1998,Giovanni,Attacking Midfield,25,Brazil,Barcelona,Spain LaLiga,41,18,2,20
