Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Luxembourg,1.354919,1.248923,0.921823,0.940926,0.848724,0.587255,0.580687,0.527099,0.571729,0.616275,0.609492,0.715798,0.714847,0.606466,0.334829,0.225389,0.111881,0.167023,0.166504,0.277507,0.606960,0.609076,0.610032,0.607865,0.441866,0.219538,0.221328,0.165197,0.278176,0.279776,0.228850,0.338893,0.280824,0.405878,0.383909,0.291355,0.440077,0.431545,0.254698,0.154136,0.168250,0.081010,0.097162,0.149690,0.165007,0.179291,0.191851,0.172883,0.153191,0.132896,0.120853,0.129393,0.212386,0.298024,0.416568,0.436163,0.444710,0.409763,0.363641,0.450980,0.648246,0.663224,0.671788,0.661815,0.612185,0.447422
Portugal,1.354919,4.787537,5.787001,6.161867,6.347979,7.171378,4.559265,3.903132,4.050675,3.828136,3.869155,3.977463,4.401318,4.313271,4.591753,4.213355,4.392920,3.878801,3.708414,2.956628,3.062944,2.990555,3.619257,4.352555,5.179415,4.985760,4.835309,5.142774,4.708616,4.298804,4.919421,5.026240,4.559469,4.942939,5.564381,4.955517,4.330788,4.096498,3.413367,3.267251,3.100874,3.200692,3.298938,3.998804,4.663031,4.809741,4.612067,4.438794,4.083091,3.637869,3.705506,4.858907,5.038449,5.224737,5.323436,5.223911,4.496398,4.146546,3.927152,3.954846,4.006888,3.902894,4.098442,4.133842,3.997198,4.052246
Northern Ireland,0.677459,0.624461,0.614549,0.584063,0.754589,0.463867,0.642150,1.406534,1.430266,1.345043,1.454966,1.556047,0.811238,0.592731,0.991416,1.015097,0.727898,0.947297,1.111024,0.777218,0.606960,0.775218,0.831847,0.773511,0.662634,0.823763,0.885809,0.771416,0.835198,0.952078,0.744451,0.621813,0.561985,0.579925,0.658177,0.728461,0.704017,0.627659,0.509287,0.264119,0.189218,0.162142,0.155435,0.168345,0.183402,0.233132,0.244212,0.224800,0.238479,0.216005,0.157138,0.211793,0.235145,0.272239,0.309755,0.414887,0.381180,0.378242,0.353251,0.317736,0.395025,0.559359,0.620578,0.631151,0.653566,0.542308
Saarland,0.451640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Greece,0.225820,0.416308,0.614549,0.584063,0.880228,1.113094,1.421720,1.303681,1.329857,1.863454,1.662842,1.859158,2.076869,2.482125,2.304256,2.580468,2.267856,2.675035,2.875062,2.498559,2.607642,2.450594,2.080033,1.741022,2.113201,2.788070,2.769253,2.755932,2.993279,2.758440,2.104666,2.205012,2.782941,3.002313,3.210220,2.987885,3.564978,2.942887,3.138691,3.562567,3.646170,3.455539,4.217651,4.133547,3.827534,3.822509,3.359591,2.647452,2.641579,2.810065,2.893016,3.217486,3.377416,3.002316,2.871113,2.714847,2.515787,2.345103,2.377171,2.263098,2.131108,2.090162,2.165075,1.854920,2.237582,2.558409
Ireland,0.225820,0.208154,0.204850,0.454207,0.628761,0.618427,0.794982,1.054725,0.858022,0.840589,0.775793,0.881071,0.659884,0.992519,0.837576,0.789369,0.839779,1.058645,0.833185,1.221296,1.600181,1.439620,1.497457,1.602569,1.215215,1.043631,0.941307,0.606054,0.445249,0.503765,0.228850,0.339063,0.449487,0.463836,0.603357,0.679926,0.571849,0.509826,0.436469,0.242175,0.210312,0.365216,0.388996,0.374337,0.348518,0.448389,0.453552,0.674712,0.749799,0.947730,0.923184,0.820051,0.671387,0.651238,0.437930,0.489353,0.461651,0.552654,0.556890,0.610873,0.542906,0.633078,0.623803,0.762925,0.771886,0.974111
Finland,0.000000,0.000000,0.000000,0.000000,0.188647,0.556640,0.550414,0.615359,0.600736,0.924833,0.665203,0.771164,0.797539,0.965050,0.530398,0.732853,0.727562,0.835614,0.721849,0.915805,0.634443,0.581331,0.415840,0.635390,0.828375,0.878647,1.605788,1.818491,2.282885,2.296011,2.505154,1.766554,1.686462,1.160198,1.042581,1.226636,1.265171,1.422238,1.464540,1.195145,1.015688,1.040462,0.939033,0.810032,0.647028,0.704243,0.772116,0.761206,0.984086,0.976763,0.919120,0.844348,0.831427,0.751285,0.613102,0.697860,0.626829,0.643012,0.573513,0.596523,0.526700,0.552687,0.681385,0.753734,0.789630,0.764685
Norway,0.000000,0.624461,0.614549,0.584063,0.565942,0.803974,0.611510,0.761814,0.858022,1.288881,1.302468,1.073945,1.237571,1.337369,1.158999,0.916447,0.923941,0.668759,0.958354,1.041066,1.076170,1.176783,1.261831,1.036157,0.869976,0.988746,0.941473,0.992010,1.113708,1.120112,1.030685,1.017528,0.843147,0.638057,1.371669,1.797395,2.090397,2.619052,2.996658,2.608539,2.791532,2.874946,2.507865,2.199831,2.412311,2.175184,2.196547,2.048123,2.293268,1.875705,1.683617,1.353725,1.335945,1.251701,1.219796,1.223383,1.630603,1.540287,1.448329,1.656326,1.762418,1.688207,2.092139,2.132514,2.244680,2.582814
Wales,0.000000,0.000000,0.204850,0.584063,1.131883,2.597653,2.568600,2.461435,3.947691,3.531180,3.159715,4.792921,4.951606,3.971399,4.021973,3.045799,2.687829,3.009414,2.333384,2.498559,2.814597,2.824413,2.163234,2.984609,2.817602,2.801915,1.827780,2.811163,2.171948,2.520504,2.405333,2.544244,1.517968,1.392377,0.987760,0.728752,0.352009,0.588460,0.436578,0.242175,0.294563,0.263740,0.213942,0.243302,0.256873,0.197274,0.244212,0.207460,0.238377,0.232567,0.249737,0.262740,0.250256,0.228088,0.256349,0.244677,0.296473,0.325709,0.322082,0.338235,0.405154,0.401954,0.422266,0.453417,0.411034,0.441956
Malta,0.000000,0.000000,0.000000,0.000000,0.094324,0.092773,0.275207,0.351634,0.429097,0.504454,0.665203,0.550855,0.797704,0.827209,0.670161,0.733022,0.727730,0.501235,0.499677,0.610315,0.606629,0.664069,0.554287,0.441888,0.331317,0.329472,0.276826,0.275494,0.278344,0.447978,0.343447,0.282581,0.337157,0.463836,0.548371,0.582710,0.571849,0.549025,0.509178,0.198023,0.189218,0.202830,0.291718,0.336914,0.366914,0.322832,0.279084,0.172883,0.085084,0.049786,0.088632,0.227520,0.280662,0.349505,0.412979,0.358122,0.303504,0.336216,0.374030,0.420231,0.465927,0.512492,0.537430,0.606664,0.585569,0.553177
