,Player,Age,Nation,Club,Position,Min,npG,npxG,Shots,Assists,xAG,npxG + xAG,SCA,Pass Attempts,Pass %,Prog Passes,Prog Carries,Take-Ons,Touches (Att Pen),Prog Passes Rec,Tackles,Inter,Blocks,Clears,Aerials,OVR
110,Ismaily,33,BRA,Lille,Fullback,1572,20,11,16,9,18,13,21,56,80,30,49,71,81,76,68,67,38,57,91,45.89473684210526
111,Junya Ito,30,JPN,Reims,Att Mid / Winger,2869,36,32,6,54,77,59,72,48,5,73,75,64,33,91,61,35,42,9,82,50.21052631578947
112,Ismail Jakobs,24,SEN,Monaco,Fullback,977,20,83,90,96,84,87,82,49,2,69,86,38,99,99,1,35,35,11,99,61.31578947368421
113,Jefferson,23,BRA,Lyon,Att Mid / Winger,549,40,63,62,2,5,33,62,38,95,23,89,99,89,92,99,11,48,1,70,53.73684210526316
114,Christopher Jullien,30,FRA,Montpellier,Center Back,2663,20,70,56,89,77,76,51,4,41,5,4,44,66,43,49,77,40,54,80,49.78947368421053
115,Tino Kadewere,27,ZIM,Lyon,Forward,646,6,13,73,5,37,11,30,72,34,6,75,76,35,25,79,91,74,23,88,44.89473684210526
116,Arnaud Kalimuendo,21,FRA,Rennes,Forward,2417,38,52,25,47,46,51,48,47,96,41,71,78,55,92,50,46,39,27,3,50.10526315789474
117,Gedeon Kalulu,26,COD,Lorient,Fullback,2209,20,23,23,49,9,10,12,43,75,49,26,35,61,33,81,21,50,83,61,40.21052631578947
118,Waren Kamanzi,22,NOR,Toulouse,Fullback,705,20,46,13,9,18,24,19,31,89,19,81,88,41,54,62,81,46,10,20,40.578947368421055
119,Lee Kang-in,22,KOR,Paris S-G,Midfielder,2460,88,90,74,60,85,89,88,20,7,15,97,99,63,90,10,5,12,2,47,54.78947368421053
120,Wahbi Khazri,32,TUN,Montpellier,Att Mid / Winger,1461,44,65,68,2,6,29,2,7,23,21,16,43,45,20,63,38,31,94,86,37.0
121,Randal Kolo Muani,24,FRA,Paris S-G,Forward,2699,71,66,43,94,88,71,84,46,32,65,94,95,82,86,38,52,50,25,53,65.0
122,Cheick Konaté,19,CIV,Clermont Foot,Center Back,613,20,67,62,28,68,79,93,39,3,58,98,99,80,96,98,94,25,1,1,58.36842105263158
123,Geoffrey Kondogbia,30,CTA,Marseille,Midfielder,1187,14,49,75,45,19,30,19,80,89,45,13,39,44,8,99,99,60,81,83,52.1578947368421
124,Ibrahima Koné,24,MLI,Lorient,Forward,1579,23,1,2,25,7,2,41,28,49,20,29,44,16,60,94,68,63,68,69,37.31578947368421
125,Boubakar Kouyaté,26,MLI,Montpellier,Center Back,1706,20,61,87,80,26,44,55,23,37,15,7,42,92,10,89,95,80,93,91,55.10526315789474
126,Sael Kumbedi,18,FRA,Lyon,Fullback,1750,20,31,51,75,33,30,19,56,74,18,11,69,49,72,97,41,83,14,15,45.1578947368421
127,Grejohn Kyei,28,FRA,Clermont Foot,Forward,2311,24,26,22,49,11,13,32,44,65,35,39,83,22,68,55,69,21,47,54,41.0
128,Gaëtan Laborde,29,FRA,Nice,Att Mid / Winger,2745,95,95,80,27,48,87,9,5,9,4,13,17,84,39,52,31,37,31,96,45.21052631578947
129,Alexandre Lacazette,32,FRA,Lyon,Forward,2572,92,83,76,60,56,81,83,81,71,84,43,70,83,66,86,89,75,3,15,68.26315789473684
130,Kenny Lala,31,FRA,Brest,Fullback,1957,62,30,63,72,73,56,73,60,41,55,30,50,7,4,79,79,15,48,11,47.78947368421053
131,Mohamed Lamine Bayo,25,GUI,Le Havre,Forward,511,94,74,72,71,75,70,93,25,42,12,60,91,56,84,36,2,35,7,71,56.31578947368421
132,Julien Laporte,29,FRA,Lorient,Center Back,1474,20,3,4,28,3,1,1,29,62,34,39,19,2,2,39,43,93,97,28,28.789473684210527
133,Théo Le Bris,20,FRA,Lorient,Midfielder,1371,77,62,24,70,45,52,21,26,33,13,93,54,92,97,74,30,75,95,25,55.68421052631579
134,Jérémy Le Douaron,25,FRA,Brest,Midfielder,2346,99,99,99,63,45,98,42,1,1,1,73,67,99,97,1,10,20,59,97,56.36842105263158
135,Enzo Le Fée,23,FRA,Rennes,Midfielder,2670,67,57,69,82,86,74,76,85,44,80,92,96,55,74,93,42,83,49,11,69.21052631578948
136,Vincent Le Goff,33,FRA,Lorient,Fullback,3037,42,19,29,19,11,7,3,63,82,75,45,19,24,27,43,47,26,78,55,37.578947368421055
137,Pierre Lees-Melou,30,FRA,Brest,Midfielder,2763,77,49,81,81,42,44,46,48,45,70,48,65,32,34,97,90,93,91,32,61.31578947368421
138,Johann Lepenant,20,FRA,Lyon,Midfielder,1612,45,30,36,61,31,26,16,72,94,68,41,50,52,59,70,78,77,32,20,50.421052631578945
139,Léo Leroy,23,FRA,Montpellier,Midfielder,1152,14,73,69,46,60,66,38,24,15,51,46,64,58,43,99,51,87,38,88,54.21052631578947
140,Gautier Lloris,28,FRA,Le Havre,Center Back,450,99,92,63,28,3,78,10,44,72,80,37,81,66,50,87,82,99,63,44,62.0
141,Bradley Locko,21,FRA,Brest,Fullback,1271,20,3,10,46,26,14,54,31,67,71,83,96,32,29,87,87,54,58,48,48.21052631578947
142,Renan Lodi,25,BRA,Marseille,Fullback,2495,20,34,46,24,23,19,9,7,12,1,10,45,13,35,53,71,22,86,31,29.526315789473685
143,Jordan Lotomba,24,SUI,Nice,Fullback,2165,20,35,34,50,2,3,30,40,88,48,75,91,10,26,89,79,77,50,54,47.421052631578945
144,Deiver Machado,30,COL,Lens,Fullback,2206,96,66,62,49,69,65,36,5,71,8,61,66,46,77,39,22,35,15,46,49.1578947368421
145,Soungoutou Magassa,19,FRA,Monaco,Center Back,541,20,76,50,28,41,48,58,86,66,98,47,87,7,89,98,78,78,3,17,56.578947368421055
146,Hugo Magnetti,25,FRA,Brest,Midfielder,1633,45,38,59,61,17,25,33,21,58,18,56,76,31,37,63,75,32,16,24,41.31578947368421
147,Yohann Magnin,26,FRA,Clermont Foot,Midfielder,2108,14,46,34,10,52,47,26,53,56,47,15,6,46,58,96,44,91,80,72,47.0
148,Ainsley Maitland-Niles,26,ENG,Lyon,Fullback,1611,20,11,6,9,13,4,18,23,67,51,6,75,5,10,90,87,97,80,53,38.1578947368421
149,Lovro Majer,25,CRO,Rennes,Midfielder,2157,37,82,90,88,92,88,94,51,25,78,95,91,93,94,43,47,49,5,18,66.3157894736842
150,Jean-Victor Makengo,25,FRA,Lorient,Midfielder,1671,14,12,17,10,9,7,22,34,78,10,77,85,20,69,14,28,36,39,15,31.36842105263158
151,Faitout Maouassa,25,FRA,Lens,Att Mid / Winger,1585,54,28,15,8,2,2,8,32,16,11,11,35,9,10,94,95,70,96,81,35.63157894736842
152,Guillermo Maripán,29,CHI,Monaco,Center Back,2344,85,64,71,28,9,43,25,37,77,36,18,11,60,7,70,73,66,52,30,45.36842105263158
153,Marquinhos,29,BRA,Paris S-G,Center Back,2929,45,46,35,28,49,39,38,93,99,57,14,10,48,68,16,2,79,27,15,42.526315789473685
154,Eliot Matazo,21,BEL,Monaco,Midfielder,1244,57,12,13,42,51,29,4,27,39,50,12,27,7,16,56,75,81,40,65,37.0
155,Nemanja Matić,35,SRB,Rennes,Midfielder,2716,54,17,8,54,59,38,50,71,64,80,78,86,40,7,68,89,88,54,68,56.473684210526315
156,Chrislain Matsima,21,FRA,Monaco,Center Back,837,20,82,40,96,91,92,62,34,45,66,26,56,63,96,61,88,46,18,71,60.68421052631579
157,Azor Matusiwa,25,NED,Reims,Midfielder,2738,14,11,15,10,22,11,56,72,65,91,17,43,1,12,80,88,78,93,70,44.68421052631579
158,Aïman Maurer,18,MAR,Clermont Foot,Att Mid / Winger,532,1,55,47,44,76,65,5,1,23,4,64,92,59,47,2,59,1,84,53,41.1578947368421
159,Kylian Mbappé,24,FRA,Paris S-G,Forward,3105,96,88,98,88,94,96,97,97,93,96,99,96,99,99,6,23,1,6,1,72.26315789473684
160,Chancel Mbemba,29,COD,Marseille,Center Back,3074,99,93,93,60,56,89,82,60,39,90,93,78,93,97,69,51,6,13,43,68.63157894736842
161,Facundo Medina,24,ARG,Lens,Center Back,2509,82,89,76,99,93,93,97,91,87,99,99,96,54,93,59,13,34,2,8,71.78947368421052
162,Bamo Meïté,22,CIV,Marseille,Center Back,1684,67,39,6,28,13,22,7,53,86,10,48,84,17,10,19,31,97,65,28,38.421052631578945
164,Birger Meling,28,NOR,Rennes,Fullback,1488,20,20,12,67,39,29,14,70,85,91,64,23,57,60,63,95,92,33,48,51.68421052631579
165,Quentin Merlin,21,FRA,Nantes,Fullback,2058,59,49,67,52,84,72,82,59,22,81,46,55,37,46,10,70,43,30,32,52.421052631578945
166,Takumi Minamino,28,JPN,Monaco,Att Mid / Winger,1176,54,49,80,89,73,62,52,55,35,61,25,10,79,69,87,62,76,44,46,58.31578947368421
167,Terem Moffi,24,NGA,Nice,Forward,2509,81,79,56,74,74,79,69,10,82,23,78,87,51,25,40,59,9,31,21,54.10526315789474
168,Mostafa Mohamed,25,EGY,Nantes,Forward,2404,56,43,64,34,13,31,9,14,19,13,13,67,53,38,52,91,85,92,81,45.68421052631579
169,Florent Mollet,31,FRA,Nantes,Att Mid / Winger,1855,31,11,44,56,35,14,53,74,75,81,13,8,1,17,38,81,55,77,44,42.526315789473685
170,Lebo Mothiba,27,RSA,Strasbourg,Forward,591,96,97,50,5,1,84,1,25,74,27,50,18,4,51,11,2,91,49,66,42.21052631578947
171,Steve Mounié,28,BEN,Brest,Forward,1803,38,58,83,5,1,40,18,76,6,52,44,25,68,21,67,47,87,79,98,48.05263157894737
172,Samuel Moutoussamy,27,COD,Nantes,Midfielder,2416,14,64,29,44,31,44,49,39,75,65,57,49,54,36,67,31,10,22,49,43.63157894736842
173,Marshall Munetsi,27,ZIM,Reims,Midfielder,2364,96,99,97,77,64,99,50,2,9,10,45,39,98,75,33,7,48,61,89,57.78947368421053
174,Kévin N'Doram,27,FRA,Metz,Midfielder,450,14,11,20,87,4,4,4,11,64,29,17,38,4,1,1,87,27,99,80,31.68421052631579
175,Youssouf Ndayishimiye,24,BDI,Nice,Midfielder,1108,61,68,56,10,1,28,13,74,92,40,26,51,44,11,22,66,61,99,70,47.0
176,Rasmus Nicolaisen,26,DEN,Toulouse,Center Back,2860,46,34,32,85,61,41,7,47,49,47,44,70,69,41,43,66,89,81,90,54.8421052631579
177,Arnaud Nordin,25,FRA,Montpellier,Att Mid / Winger,2209,79,76,64,25,12,46,8,3,47,20,83,61,60,44,27,67,21,24,76,44.36842105263158
178,Gerzino Nyamsi,26,FRA,Strasbourg,Center Back,1848,64,73,69,78,12,55,49,35,47,57,60,91,51,39,61,7,25,49,49,51.10526315789474
179,Florent Ogier,34,FRA,Clermont Foot,Center Back,1401,77,30,15,28,84,58,47,39,8,39,11,64,37,32,60,32,10,43,27,39.0
180,Warmed Omari,23,FRA,Rennes,Center Back,2023,20,21,5,76,54,28,77,82,96,73,48,74,11,8,14,39,16,9,65,42.94736842105263
181,Azzedine Ounahi,23,MAR,Marseille,Midfielder,731,96,96,97,10,70,91,88,48,88,43,97,99,93,95,2,26,14,2,1,60.8421052631579
182,Adam Ounas,26,ALG,Lille,Att Mid / Winger,875,14,60,65,18,80,71,81,86,23,93,86,95,40,86,71,74,89,50,54,65.05263157894737
183,Nicolas Pallois,36,FRA,Nantes,Center Back,2166,57,57,31,28,41,48,29,22,38,36,27,83,16,31,97,63,49,95,7,45.0
184,Andy Pelmard,23,FRA,Clermont Foot,Center Back,450,20,69,35,28,97,92,55,75,71,83,99,53,27,50,60,4,93,8,1,53.68421052631579
185,Danilo Pereira,32,POR,Paris S-G,Center Back,2563,82,78,73,28,53,74,59,97,99,95,85,85,67,69,41,69,36,8,6,63.36842105263158
186,Mathias Pereira Lage,26,POR,Brest,Att Mid / Winger,830,51,18,47,19,6,5,2,4,16,4,2,5,23,19,64,94,55,86,92,32.21052631578947
187,Romain Perraud,26,FRA,Nice,Fullback,1651,83,73,95,37,30,48,33,19,17,26,38,30,69,79,79,17,71,51,38,49.10526315789474
188,Lucas Perrin,24,FRA,Strasbourg,Center Back,1774,20,27,44,96,97,81,56,17,31,41,57,81,63,87,86,76,30,6,32,54.10526315789474
189,Ronaël Pierre-Gabriel,25,FRA,Nantes,Fullback,964,80,65,71,55,54,52,6,15,68,9,54,38,64,44,99,99,99,97,65,59.68421052631579
190,Julien Ponceau,22,FRA,Lorient,Midfielder,1825,67,71,42,54,59,63,55,41,55,60,91,48,79,95,20,49,58,33,24,56.0
191,Sanjin Prcić,29,BIH,Strasbourg,Midfielder,1325,55,44,79,10,20,29,42,64,67,71,30,57,16,14,17,89,66,70,43,46.473684210526315
192,Gonçalo Ramos,22,POR,Paris S-G,Forward,857,43,76,84,44,64,73,41,29,69,65,25,32,56,21,88,27,50,88,58,54.36842105263158
193,Elba Rashani,30,KVX,Clermont Foot,Att Mid / Winger,1958,27,51,18,29,36,44,1,18,51,9,23,12,49,46,63,71,69,80,76,40.68421052631579
194,Alexsandro Ribeiro,24,BRA,Lille,Center Back,1619,98,96,98,28,15,88,20,88,89,93,54,98,94,77,67,64,2,44,34,65.63157894736842
195,Valentin Rongier,28,FRA,Marseille,Midfielder,3239,28,39,32,35,41,37,43,83,88,91,79,58,60,54,79,93,86,53,64,60.1578947368421
196,Pablo Rosario,26,NED,Nice,Center Back,1553,20,55,62,83,99,92,99,61,80,94,78,59,49,97,98,43,7,1,7,62.31578947368421
197,Fabián Ruiz Peña,27,ESP,Paris S-G,Midfielder,2128,75,80,74,69,61,73,46,98,98,72,56,70,79,91,83,28,28,56,8,65.52631578947368
198,Falaye Sacko,28,MLI,Montpellier,Fullback,2457,50,20,2,47,6,3,13,22,64,18,41,33,30,16,32,81,84,77,42,35.8421052631579
199,Wesley Saïd,28,FRA,Lens,Forward,579,71,82,98,5,3,69,83,81,78,91,93,97,94,96,11,50,8,16,21,60.36842105263158
200,Amine Salama,23,FRA,Reims,Forward,1105,8,5,7,5,37,7,3,50,71,27,91,88,3,64,69,99,9,3,5,34.26315789473684
201,Yoann Salmier,30,GUF,Le Havre,Center Back,2538,20,44,49,71,67,45,53,36,32,65,59,61,50,61,63,75,22,76,49,52.526315789473685
202,Mama Samba Baldé,27,GNB,Lyon,Forward,2177,19,20,37,14,29,17,35,38,26,55,69,93,38,72,91,85,88,23,40,46.78947368421053
203,Arouna Sangante,21,SEN,Le Havre,Center Back,450,20,1,10,28,52,3,95,34,34,4,13,3,11,2,44,89,8,35,14,26.31578947368421
204,Morgan Sanson,29,FRA,Nice,Midfielder,1909,41,92,96,53,89,93,74,24,18,17,90,79,85,89,58,74,43,10,41,61.36842105263158
205,Baptiste Santamaria,28,FRA,Rennes,Midfielder,1651,45,63,54,10,7,31,6,79,59,57,38,16,37,36,12,57,38,59,97,42.1578947368421
206,Amin Sarr,22,SWE,Lyon,Forward,682,5,5,2,58,18,4,6,63,56,44,78,50,10,86,94,2,35,39,58,37.526315789473685
207,Martin Satriano,22,URU,Brest,Forward,1656,1,4,15,24,9,3,31,31,25,19,60,73,44,58,56,64,10,93,71,36.36842105263158
208,Téji Savanier,31,FRA,Montpellier,Att Mid / Winger,2547,28,24,55,48,60,37,82,97,20,97,10,83,2,3,54,95,59,45,52,50.05263157894737
209,Niklas Schmidt,25,GER,Toulouse,Midfielder,1235,80,71,75,10,57,60,85,57,21,50,74,98,45,69,85,10,29,62,47,57.10526315789474
210,Alidu Seidu,23,GHA,Clermont Foot,Center Back,2211,20,5,25,74,80,24,49,53,30,19,85,99,1,66,91,85,17,1,2,43.473684210526315
211,Vincent Sierro,27,SUI,Toulouse,Midfielder,1163,14,31,45,10,41,32,20,59,22,73,21,35,21,40,35,18,63,62,70,37.473684210526315
